words,counts
fun,623
mean,183
caterpillar,132
arrives,403
major,272
kazuki,22
yoshino,45
yuuya,55
idols,267
gives,280
performance,176
views,37
job,462
means,343
making,332
money,276
yuuyas,38
apathetic,42
attitude,47
fans,103
inability,31
seriously,49
causes,205
manager,129
give,304
ultimatum,10
unless,30
putting,111
effort,154
asahi,24
mogami,14
idol,769
dressed,32
colorful,130
costume,27
would,775
bright,185
ahead,182
died,78
year,1060
prior,93
even,1642
perform,180
again,786
hold,158
passion,268
once,1251
did,257
overcome,344
fit,41
rage,87
demands,82
let,212
place,1263
twist,63
wakes,108
lazy,76
himselfwith,11
thinks,115
ticket,74
easy,200
though,936
longer,255
alive,145
ambition,98
best,1019
unmotivated,17
man,1048
care,225
besides,38
met,273
kazuya,41
kinoshita,38
chizuru,16
mizuhara,14
regularly,31
rental,15
girlfriend,129
app,90
confesses,51
ready,244
quit,62
pursue,155
true,606
wishing,39
maintain,146
support,229
watch,326
anticipated,42
play,478
captivate,12
audience,124
thought,318
undoubtedly,20
scouted,22
famous,291
director,101
explains,135
recruited,45
actress,32
lack,200
frustrated,58
behalf,17
resolves,63
rent,35
week,104
financially,17
kazuyas,12
mami,21
nanami,77
reasons,51
fulfilling,79
promise,177
uncertain,45
grand,405
prix,19
competition,305
established,191
appreciation,23
devoted,55
performances,84
yayoi,33
sakamoto,43
takahashi,45
yuzu,24
trio,253
qualifying,16
final,404
round,124
trios,23
emerge,71
participants,102
housed,12
dorm,15
contestants,10
establishment,61
prove,361
laugh,30
cry,35
maid,64
lilith,14
hired,55
yuuri,28
mansion,103
seems,539
highly,119
good,508
dish,110
serves,83
turns,427
delicious,242
residence,37
clothing,32
given,326
pleasant,26
since,875
started,191
doing,211
furthermore,56
devilishly,10
beautiful,516
eyes,243
serve,141
heighten,10
perhaps,74
witch,231
or,1718
sorcerer,56
figure,197
tries,584
unravel,155
charm,80
sequel,167
koyan,18
origami,18
ninja,253
planet,415
origamio,18
stone,164
hapiton,18
happy,214
joined,212
namin,18
anda,18
lublin,18
villain,85
evilrun,18
appeared,222
black,390
stomach,70
inhale,18
event,435
happens,214
evilruns,18
aim,198
short,1083
focusing,208
different,665
teams,203
included,793
6th,34
bluraydvd,203
volume,483
gag,93
foods,62
refrigerator,45
airs,134
within,892
oha,58
suta,59
childrens,250
morning,199
tv,660
program,472
receive,207
simultaneous,45
serialization,56
kazumata,45
oguri,45
stopmotion,506
robots,242
mainly,156
pulta,136
square,195
adaptation,198
episode,1008
midori,23
released,582
bluray,374
box,199
2022,22
anidb,206
commemorating,19
animes,103
sixth,129
fourth,578
kamiusagi,93
rope,91
events,1030
occur,103
film,489
mezamashi,68
instead,477
theaters,112
installment,40
noprincesama,13
machine,82
blues,17
midsummer,11
protagonists,37
terrible,56
accidentally,237
drowns,26
remote,93
control,438
unit,219
apartment,168
discuss,72
predicament,70
akashi,42
25,72
prompting,32
protagonist,210
snatch,27
lin,21
ordinary,588
powerful,814
practitioner,18
god,480
war,1025
system,274
sends,92
spiritual,76
practice,173
arrived,227
aptitude,59
humiliated,12
wash,15
away,662
optimistic,51
improved,12
cultivation,41
outstanding,10
close,425
embarked,45
road,167
bilibili,59
shimajirou,120
television,363
duel,257
masters,185
entered,87
stage,334
theme,210
travelsource,12
30second,103
segments,121
featuring,467
gohan,109
kaijuu,127
pap,99
monsters,903
produce,151
meals,163
centers,226
answers,136
peoples,158
delivers,62
tane,31
neko,151
japanese,832
words,456
seed,58
respectivelysource,30
kotetsukun,12
aspires,58
astronaut,58
animal,131
space,413
dreamssource,15
third,541
motto,20
majime,16
ni,200
fumajime,12
kaiketsu,17
zorori,15
machikado,10
mazoku,15
elite,337
shuchiin,16
academys,121
council,226
continue,596
competitive,133
daytoday,32
antics,169
miyuki,34
clashes,27
kaguya,27
shinomiya,20
fighting,343
nail,24
trick,25
romantic,102
strict,112
confines,14
wealthy,63
rebelling,11
cold,119
demeanor,158
treasurer,10
yuu,105
ishigami,21
suffers,86
weight,68
hopeless,48
tsubame,11
confidence,67
miko,35
iino,11
newest,100
grows,223
closer,328
striving,67
authoritarian,10
moral,75
further,256
blooms,16
officers,32
drag,21
increasingly,106
conflicts,119
momoko,139
sakura,276
elementary,470
momoe,128
yamaguchi,130
mangas,227
chibi,217
marukochan,137
age,651
small,814
size,169
grandparents,176
sister,834
town,743
whom,374
studies,226
plays,214
everyday,579
pal,133
tamachan,128
committee,145
maruokun,128
migiwasan,128
bclass,135
hanawakun,128
hamajibu,128
taro,132
sekiguchikun,128
funloving,144
enjoyable,132
portrays,140
simple,324
lifesource,164
exciting,337
momentous,22
cultural,70
festival,261
continues,687
endeavor,60
hundred,236
alongside,595
classmate,247
tadano,14
winter,85
class,508
seemingly,341
delinquent,49
makoto,115
absent,25
intimidating,35
appearance,383
difficulty,39
befriend,123
friendships,82
form,613
deepen,10
numerous,242
challenges,328
shidou,21
ratatoskr,16
departure,19
routine,66
starving,29
woman,306
lying,37
street,127
helping,191
arrive,161
introduces,117
artist,143
working,461
pen,28
cutting,17
straight,22
chase,71
spirit,382
aware,95
shidous,10
secret,620
seeing,131
charisma,11
firsthand,46
win,273
strives,144
opportunity,282
seal,143
history,350
ex,17
familiar,316
corrupt,28
frenzied,12
forces,691
constantly,164
jeopardize,21
thin,27
peace,687
between,1595
neighboring,61
countries,132
spite,59
plots,97
spy,53
disguise,49
twilight,43
missions,86
hope,480
child,513
experience,327
horrors,53
bustling,52
dons,42
esteemed,24
intention,38
gather,162
prominent,56
rarely,40
prestigious,392
eden,31
enlisting,38
hall,43
clerk,13
briar,32
wife,110
adopting,11
curious,176
orphan,47
anya,13
daughter,253
enacts,12
enroll,61
excel,21
without,525
suspicion,21
talents,132
trouble,295
loving,28
husband,105
hiding,97
underground,156
assassin,66
thorn,13
esper,18
read,48
secrets,229
either,102
founded,44
deception,18
forgers,14
gradually,218
understand,153
share,207
else,153
mini,141
because,322
mistake,32
summoning,108
process,118
30yearold,10
liu,16
summoned,158
soon,1282
possible,185
began,228
assist,91
18yearold,18
brave,103
tian,32
excellent,71
originally,142
duck,10
grew,137
mature,66
reliable,27
girlsource,14
recap,455
24,51
episodes,909
digimon,47
0,56
aired,192
april,84
fools,24
rantarou,78
shinbei,78
kirimaru,78
apprentices,147
gakuen,108
grade,149
nintamas,74
contraction,74
ninjatama,74
learn,744
our,256
heroes,375
interesting,152
segmentated,74
cartoon,92
fashion,153
2,442
30min,74
includes,158
teachers,128
doisensei,74
crossdressing,84
yamadasensei,74
nintama,78
kunoichis,74
guys,100
dokutake,74
ninjas,86
castsource,76
arcs,29
following,1073
trip,269
okinawa,29
saitama,29
university,149
graduate,125
shinya,35
yukimura,55
ayame,13
himuro,10
failed,116
obtain,175
data,57
necessary,121
unable,305
exact,51
conditions,55
stubborn,105
scientists,56
elsewhere,46
biological,14
longtime,21
chris,15
fujiwara,30
begin,793
situations,181
compared,12
poses,15
if,1071
affection,43
proven,58
scientific,30
puts,113
line,430
beginning,283
tiny,91
softspoken,12
reina,27
sits,26
shares,64
sentiment,17
awkward,102
timid,113
incapable,38
determining,17
approaching,94
complete,298
gauge,15
personal,240
struggle,297
spark,22
unlikely,178
friendship,254
tasks,139
talking,160
seem,353
impossible,132
countless,123
overly,24
imaginative,12
whatever,183
queen,139
invasion,133
turn,479
hero,647
leo,83
protect,775
blessed,46
insurmountable,28
power,1320
easily,126
saving,193
gratitude,19
admiration,46
humans,724
fear,137
overwhelming,110
strength,359
believe,219
may,1110
eventually,372
cause,315
humanitys,128
kingdom,502
wanders,37
aimlessly,12
throughout,438
land,539
hears,143
rebuild,42
demonkind,16
accept,174
ally,70
returns,235
queens,22
offers,154
rejects,34
lost,656
manages,192
convince,66
generals,31
donning,10
masked,72
knight,140
solves,22
armys,23
problems,252
improving,23
quality,20
accomplish,70
goal,456
why,169
spends,182
office,195
computer,81
corporate,53
slave,35
coworkers,91
gone,182
noticing,63
unhealthy,10
situation,382
rumored,110
haunt,43
building,156
upon,974
scare,19
relieve,16
stress,64
cuteness,32
motivates,11
presence,109
soul,168
bring,520
kappa,76
flowers,162
heads,221
15,144
lord,176
graduated,28
mage,109
moves,143
royal,224
capital,145
chapter,103
settle,71
16yearold,54
estate,28
firm,47
guide,45
rpg,71
employees,34
priest,52
tomboyish,19
warrior,176
demihuman,39
learning,341
housing,22
options,26
available,74
suit,144
varied,15
eccentricities,24
diverse,47
customer,17
pool,71
deliver,30
perfect,206
matches,73
clients,54
specific,68
needs,231
task,203
colleagues,67
determined,565
smiles,55
faces,373
izumi,104
leads,489
filled,427
mishap,22
unfortunate,101
possession,83
enters,236
single,364
wish,225
affectionate,43
athletic,77
caring,48
immensely,22
dating,70
witnessed,40
surprising,49
otherwise,62
need,260
arises,47
incredibly,171
cool,90
misfortunes,23
avoided,12
face,684
charming,59
never,748
ceases,22
heart,336
skip,40
sure,152
attends,80
magic,597
worst,78
grades,39
entire,377
attending,157
institution,105
headmaster,17
albus,10
special,1164
training,630
regimen,19
south,62
eagerly,32
accepts,232
dawn,44
lizard,12
establish,48
witches,158
quartet,36
avoids,21
dia,10
ignis,56
hunters,101
murdering,14
civilians,41
alike,160
disbanded,53
church,122
linger,17
capture,288
any,985
mages,52
staff,64
unlimited,143
supply,18
able,1044
left,727
silverhaired,19
rescued,114
rampant,45
frequent,35
considered,228
jobs,142
honor,105
fame,123
provides,125
wanting,62
intends,62
career,153
completing,93
request,97
en,33
route,67
confronted,64
bear,189
elf,56
healer,10
approaches,119
asks,198
requires,48
oblivious,38
discussion,13
complicated,78
absurdly,13
eccentric,266
personality,168
somehow,187
convinces,52
healing,27
casts,10
curse,93
shall,15
forced,432
accompany,74
broken,103
steadfast,16
fullfledged,18
fifth,231
wa,188
nai,30
character,486
mother,583
sazaesan,70
kids,247
ultimate,284
tends,93
traditional,274
themes,76
think,175
equivalent,76
partridge,68
youll,79
feel,172
shows,353
atmosphere,111
dont,230
expect,166
violence,106
swearing,80
kungfu,68
action,252
today,131
mall,84
boring,122
plotlines,68
simplistic,69
art,323
turnoff,68
nonjapanese,68
audiences,137
top,553
ratings,80
grabbers,68
acceptable,68
yatogamechan,11
kansatsu,11
nikki,11
oni,27
fix,102
transfer,279
normal,497
tokyo,676
aid,263
image,41
sometimes,159
jumping,20
headfirst,18
idolssource,19
twopart,10
boxes,20
depicts,100
loves,264
alcohol,14
eighth,70
ruguo,21
lishi,21
shi,85
yiqun,21
miao,34
twelve,52
historical,105
figures,98
stories,335
cover,111
china,127
covers,41
moments,141
dynasty,65
emperor,116
reign,67
rebellion,35
huang,13
chao,11
eventual,19
downfall,28
imperial,97
tang,38
seventh,139
menghuan,18
shuyuan,14
13,122
streamed,76
advance,40
tokyos,107
30,62
release,416
summer,378
promotional,183
video,1488
shounen,96
jump,96
tvs,12
kantoku,10
entertainer,11
variety,200
ken,58
tamaki,31
organizations,100
favorite,99
pastime,21
skill,148
toy,68
mere,125
stakes,39
fight,1077
hdive,10
compilation,122
unprecedented,82
zombie,60
killed,104
hundreds,85
thousands,98
korea,28
declared,29
holds,182
last,759
satisfied,13
violent,102
tendencies,11
die,116
keep,462
elsesource,17
webtoon,11
touken,20
ranbu,29
hanamaru,26
movie,487
trilogy,66
twitter,84
break,245
nishikata,19
stoked,13
pranks,24
takagi,22
losing,211
streak,23
slowly,305
unrelenting,11
mind,238
realizes,278
motivations,25
teasing,32
initially,151
funfilled,10
strategizing,12
ancient,326
roman,13
coming,276
ideas,56
dismal,14
bathhouse,16
relax,43
unwind,13
bath,33
head,489
tunnel,16
transports,29
modernday,77
providing,46
inspiration,84
needed,81
recreate,45
usually,59
inferior,22
circumstances,122
sheer,53
ingenuity,21
enough,481
attention,346
citizens,179
regain,102
reputation,128
infamous,322
arsene,24
lupin,77
iii,83
gang,141
thieves,67
britain,17
existence,522
ravens,12
treasure,272
raven,15
society,281
pulling,67
strings,33
british,38
government,343
evaded,17
lupins,35
grasp,94
nearly,112
10,275
clues,53
proves,121
difficult,266
pursued,49
interpols,12
inspector,45
kouichi,42
zenigata,24
mi6,16
scotland,16
yard,12
britains,15
finest,58
consulting,14
sherlock,26
holmes,32
score,28
gentleman,25
thiefwritten,12
shorts,333
vtubers,11
wan,38
sheng,18
jie,30
author,90
shin,76
greeted,95
kotarou,23
satou,78
neighbor,51
gifts,42
tissues,14
odd,164
speaks,29
extremely,101
manner,65
alone,340
relatives,39
rely,106
sympathetic,18
case,207
something,508
happen,116
residents,171
fond,44
ill,54
son,495
prince,190
capable,298
wise,12
candidate,44
say,64
sell,16
highest,81
wields,27
authority,63
throne,82
country,304
using,687
retire,43
comfort,48
raise,67
value,42
gains,61
whether,257
succeed,70
wit,40
benefit,22
gourmet,46
pursuit,162
progress,97
mysteries,451
allegiance,23
forming,56
truth,478
worlds,409
very,688
foundation,68
tsukasa,39
incredible,84
women,127
looks,223
hinata,178
tachibana,97
none,114
overshadowed,11
shown,136
desperate,189
polar,59
differences,139
mixer,11
usual,180
drunken,22
irresistible,11
heavens,81
listening,81
goddess,134
transporting,24
simultaneously,48
granting,41
impossibly,13
attractive,44
captivated,40
moreover,89
stunning,58
understanding,63
popularity,114
risk,61
remaining,163
prisoners,19
forever,143
graduating,40
mai,28
priority,12
income,10
avoid,120
turning,194
civil,69
service,80
exams,35
faced,212
harsh,131
institute,59
denied,14
entry,112
accepted,81
police,253
reluctantly,89
actual,46
officer,74
cruel,93
profession,31
unexpectedly,155
constant,151
criticism,15
disheartened,11
hostile,105
treatment,48
letter,119
resignation,12
chooses,62
ace,204
affairs,54
division,110
assigned,136
instructor,34
coworker,10
motion,78
spinoff,92
occurred,40
posted,118
page,20
weekly,39
basis,18
debut,149
later,946
sets,591
picture,246
dramas,22
arifureta,12
wiki,206
desert,33
sugar,19
drama,174
webexclusive,19
mahoutsukai,17
extra,103
collaboration,275
hanyou,22
yashahime,22
sengoku,96
otogizoushi,22
outside,307
specializing,55
entertainment,204
wellknown,103
park,139
beneath,90
lies,235
monumental,14
advanced,124
domination,22
nature,334
company,400
put,451
recently,150
reaching,71
groups,176
common,155
development,159
touka,14
researcher,26
primarily,35
seniors,48
include,87
giving,189
abrupt,24
ridiculous,56
expectations,67
designs,66
accompanying,17
said,221
inevitable,53
enemies,393
nevertheless,71
promotion,51
desires,153
tooru,57
ouji,11
saisei,14
mobile,286
rhythm,50
sekai,51
unveiled,21
channels,32
1st,56
anniversary,177
stream,31
musume,13
pretty,116
starring,23
entrance,88
spring,209
unaware,140
dream,622
aspirations,21
clean,63
slate,10
diamond,67
attempts,293
fulfill,295
knows,337
race,402
hearts,145
full,536
shamans,20
extraordinary,176
individuals,148
communicate,80
spirits,283
gods,300
invisible,58
shaman,24
fighta,20
pitting,20
otheris,20
held,193
winner,82
crowned,59
title,500
allows,150
incumbent,20
call,239
shape,62
fitfinding,20
manta,24
oyamada,20
shortcut,25
local,292
cemetery,34
lone,78
sitting,54
gravestone,20
invites,183
stargaze,20
realizing,97
refers,39
ghostly,46
terror,70
asakura,30
shamanintraining,20
demonstrates,30
teaming,52
sixhundredyearold,20
samurai,143
amidamaru,20
thugs,82
befriends,185
yous,20
becoming,669
kingwritten,81
attempt,399
survival,178
yu,75
ordered,53
enter,248
heros,15
recruits,73
disciples,25
exposed,32
righteous,19
knights,246
kill,172
spot,122
shocked,76
information,170
choice,228
womens,10
campus,23
comics,27
exclusively,29
amazon,55
prime,99
celebrate,99
nintendo,54
switch,56
legends,107
14,57
ore,43
na,70
mo,37
anilist,70
liveaction,35
medical,77
got,136
commemorate,36
announcement,47
specials,372
uploaded,29
pop,99
team,1169
epic,70
creator,36
stars,284
screen,24
ensemble,38
change,586
superdeformed,29
account,53
2014,75
23,34
old,778
assistant,129
joins,298
production,155
department,105
discover,512
glamorous,31
behindthescenes,23
involves,38
inexplicable,56
gathering,72
300,49
images,11
camera,18
lens,11
surrounded,283
chaos,318
setbacks,11
ryuuguu,68
produced,155
masterpiece,73
meisaku,68
matsuda,78
enrolled,104
crazy,300
sweets,119
energetic,174
idiot,75
musubi,68
rice,91
ball,239
angry,91
onigiri,70
nokio,68
narcissistic,102
bolt,74
whos,106
clearly,76
faster,88
rabbit,157
splendid,68
charactersource,72
network,165
purehearted,10
zhang,33
transferred,74
global,144
universal,119
rich,85
handsome,103
boys,362
gentle,65
princes,53
taste,98
betrayal,64
kind,348
deal,297
depict,60
vehicles,17
island,402
carkun,15
delivery,77
worker,94
deliveries,21
traffic,45
rules,186
stopped,67
meddling,30
sabibi,15
monogatari,38
severe,72
15yearold,41
rushes,81
storm,132
hits,55
lightning,36
strikes,93
unconscious,37
